Date,Open,High,Low,Close,Adj Close,Volume
2020-04-03,5050.000000,5364.000000,4927.000000,5204.500000,4868.663574,3133078
2020-04-06,5212.000000,5270.000000,5064.000000,5163.000000,4829.841797,2296193
2020-04-07,5260.000000,5260.000000,5052.500000,5118.000000,4787.745605,1842884
2020-04-08,5063.000000,5175.000000,5036.500000,5140.000000,4808.325684,1926786
2020-04-09,5198.000000,5275.000000,5052.000000,5201.000000,4865.389648,2296255
2020-04-10,5120.000000,5139.500000,5064.000000,5130.000000,4798.971191,716521
2020-04-13,5118.500000,5125.000000,4933.000000,5040.000000,4714.778809,941577
2020-04-14,5088.000000,5119.500000,4825.000000,4844.000000,4531.426270,2050966
2020-04-15,4800.000000,4800.000000,4453.000000,4484.000000,4194.656250,2653586
2020-04-16,4501.500000,4631.000000,4365.000000,4561.500000,4267.155273,3418181
2020-04-17,4696.000000,4697.000000,4545.000000,4620.000000,4321.880371,1691455
2020-04-20,4559.500000,4637.000000,4455.000000,4522.500000,4230.671875,1901928
2020-04-21,4402.000000,4533.500000,4281.000000,4475.000000,4186.236816,3803184
2020-04-22,4435.500000,4810.500000,4435.500000,4810.500000,4500.087891,3441491
2020-04-23,4894.500000,4979.500000,4730.000000,4902.500000,4586.151367,2564752
2020-04-24,4874.500000,4876.000000,4720.000000,4745.500000,4439.282227,1849964
2020-04-27,4745.000000,4790.000000,4620.000000,4650.000000,4349.944336,1687755
2020-04-28,4624.000000,4808.000000,4624.000000,4738.500000,4432.733887,2736525
2020-04-29,4779.000000,4940.000000,4750.000000,4897.000000,4581.006348,2888562
2020-04-30,4940.000000,5039.500000,4816.500000,4826.500000,4515.055176,3034509
2020-05-04,4787.000000,4909.500000,4751.500000,4848.500000,4535.635742,1261445
2020-05-05,4950.000000,4985.000000,4880.000000,4975.000000,4653.973145,1430540
2020-05-06,5000.000000,5012.500000,4825.000000,4857.500000,4544.055176,1867699
2020-05-07,4865.000000,4950.000000,4825.000000,4839.000000,4526.748535,1713477
2020-05-08,4862.500000,4872.500000,4733.000000,4832.000000,4520.200684,1618465
2020-05-12,4841.000000,4928.000000,4829.000000,4897.500000,4581.474121,1312203
2020-05-13,4877.500000,4896.000000,4815.500000,4819.000000,4508.039551,1151391
2020-05-14,4800.000000,4870.000000,4777.000000,4870.000000,4555.748535,1477143
2020-05-15,4933.000000,4968.000000,4874.500000,4874.500000,4559.958008,1659668
2020-05-18,4978.500000,5191.500000,4943.000000,5170.500000,4836.857910,2517559
2020-05-19,5193.000000,5285.000000,5188.000000,5272.000000,4931.808105,2107046
2020-05-20,5275.000000,5471.000000,5238.000000,5450.000000,5098.322266,2241698
2020-05-21,5459.000000,5548.000000,5227.000000,5286.000000,4944.904785,2659586
2020-05-22,5190.500000,5348.000000,5186.500000,5317.000000,4973.904297,1591595
2020-05-25,5349.500000,5420.000000,5344.500000,5412.500000,5063.241699,619003
2020-05-26,5500.000000,5539.500000,5435.500000,5445.000000,5093.645020,1608166
2020-05-27,5424.000000,5515.500000,5285.000000,5352.500000,5007.113770,1740887
2020-05-28,5355.000000,5484.500000,5311.000000,5392.000000,5044.064941,1392948
2020-05-29,5380.000000,5380.000000,5224.000000,5242.500000,4904.211914,2452558
2020-06-01,5349.500000,5412.500000,5269.000000,5318.000000,4974.839844,1315418
2020-06-02,5357.000000,5433.000000,5340.000000,5400.000000,5051.548340,1356985
2020-06-03,5450.000000,5566.500000,5424.000000,5549.500000,5191.401367,2084320
2020-06-04,5530.500000,5553.000000,5430.000000,5430.000000,5079.612793,1480873
2020-06-05,5475.000000,5511.500000,5434.000000,5460.000000,5107.676758,1220018
2020-06-08,5490.000000,5527.500000,5351.000000,5372.000000,5025.355469,1556909
2020-06-09,5400.000000,5428.500000,5305.500000,5425.000000,5074.935547,1389733
2020-06-10,5410.000000,5432.000000,5314.000000,5342.000000,4997.291016,1522348
2020-06-11,5305.000000,5355.500000,5270.500000,5350.000000,5004.774902,1439733
2020-06-15,5220.000000,5278.000000,5120.000000,5264.000000,4924.324219,1756019
2020-06-16,5327.000000,5474.500000,5310.500000,5392.000000,5044.064941,1603883
2020-06-17,5418.000000,5441.500000,5301.000000,5343.000000,4998.226563,1356719
2020-06-18,5330.000000,5376.000000,5290.000000,5347.000000,5001.968750,1229137
2020-06-19,5411.500000,5490.000000,5389.000000,5460.000000,5107.676758,1875155
2020-06-22,5436.500000,5504.500000,5392.000000,5457.000000,5104.870605,936735
2020-06-23,5480.000000,5506.500000,5437.500000,5468.000000,5115.160645,919169
2020-06-25,5325.000000,5385.000000,5310.500000,5371.000000,5024.419922,1482482
2020-06-26,5388.000000,5407.000000,5303.000000,5323.500000,4979.984863,739594
2020-06-29,5303.000000,5327.000000,5266.500000,5313.000000,4970.162598,933766
2020-06-30,5292.500000,5299.500000,5281.000000,5298.500000,4956.598145,882300
2020-07-02,5339.500000,5413.500000,5322.500000,5409.000000,5059.967773,1008582
2020-07-03,5415.500000,5431.000000,5375.500000,5423.500000,5073.532227,459660
2020-07-06,5451.500000,5512.000000,5450.000000,5473.000000,5119.837891,1097323
2020-07-07,5475.000000,5492.500000,5429.500000,5476.500000,5123.112305,973195
2020-07-08,5465.000000,5479.000000,5405.000000,5424.000000,5074.000000,1324188
2020-07-09,5157.500000,5175.000000,5061.000000,5080.000000,5080.000000,1660363
2020-07-10,5048.500000,5101.500000,5026.500000,5094.500000,5094.500000,963018
2020-07-13,5116.000000,5133.500000,4951.500000,4965.000000,4965.000000,1124074
2020-07-14,4933.500000,4933.500000,4784.500000,4859.000000,4859.000000,1980243
2020-07-15,4901.500000,4997.000000,4865.000000,4923.500000,4923.500000,2008515
2020-07-16,4929.000000,4974.000000,4895.000000,4957.000000,4957.000000,767281
2020-07-17,4950.500000,4972.000000,4911.000000,4949.000000,4949.000000,543412
2020-07-20,4948.000000,4970.000000,4910.000000,4932.000000,4932.000000,820913
2020-07-21,4961.000000,4973.000000,4958.500000,4965.500000,4965.500000,1488734
2020-07-22,4953.000000,5063.000000,4953.000000,5024.500000,5024.500000,1274994
2020-07-23,5060.000000,5089.500000,4978.000000,5003.500000,5003.500000,973389
2020-07-24,4968.000000,5010.000000,4941.500000,4971.500000,4971.500000,1099283
2020-07-27,4992.500000,5039.000000,4979.000000,4997.500000,4997.500000,802899
2020-07-28,5021.500000,5036.500000,4978.500000,5024.000000,5024.000000,838913
2020-07-29,5034.000000,5193.000000,5022.000000,5174.000000,5174.000000,1780182
2020-07-30,5170.000000,5178.000000,5055.000000,5090.500000,5090.500000,1091797
2020-07-31,5114.000000,5130.000000,5051.000000,5075.500000,5075.500000,830647
2020-08-03,5071.000000,5087.000000,5028.000000,5051.500000,5051.500000,762967
2020-08-04,5052.500000,5060.000000,5002.000000,5018.000000,5018.000000,726089
2020-08-05,5051.000000,5155.000000,5042.000000,5144.500000,5144.500000,1048763
2020-08-06,5150.500000,5174.000000,5091.000000,5127.000000,5127.000000,860565
2020-08-07,5130.000000,5125.500000,5066.000000,5091.000000,5091.000000,527239
2020-08-10,5100.000000,5153.000000,5095.000000,5107.000000,5107.000000,538189
2020-08-11,5115.000000,5210.000000,5113.000000,5204.000000,5204.000000,1098294
2020-08-12,5188.500000,5300.000000,5188.000000,5288.000000,5288.000000,1013885
2020-08-13,5300.000000,5342.500000,5252.500000,5289.500000,5289.500000,812768
2020-08-14,5323.000000,5323.000000,5234.500000,5280.000000,5280.000000,694804
2020-08-17,5303.000000,5321.500000,5235.000000,5260.500000,5260.500000,656085
2020-08-18,5255.000000,5296.000000,5231.000000,5273.000000,5273.000000,689497
2020-08-19,5266.000000,5313.000000,5245.000000,5262.500000,5262.500000,585621
2020-08-20,5220.000000,5231.000000,5088.000000,5110.000000,5110.000000,1178093
2020-08-21,5150.500000,5158.000000,5027.000000,5096.000000,5096.000000,1023855
2020-08-24,5110.000000,5198.000000,5103.500000,5181.500000,5181.500000,852609
2020-08-25,5199.500000,5228.000000,5145.000000,5220.000000,5220.000000,948015
2020-08-26,5230.000000,5288.000000,5197.000000,5285.000000,5285.000000,777335
2020-08-27,5286.000000,5292.500000,5154.000000,5190.000000,5190.000000,989395
2020-08-28,5170.000000,5170.000000,5056.500000,5065.500000,5065.500000,748185
2020-08-31,5095.500000,5128.500000,4960.000000,4984.500000,4984.500000,1368764
2020-09-01,4994.500000,5016.000000,4917.000000,4932.000000,4932.000000,1241139
